set_num,name,year,theme_id,num_parts,img_url
42178-1,Surface Space Loader,2024,1,435,https://cdn.rebrickable.com/media/sets/42178-1.jpg
42179-1,Planet Earth and Moon in Orbit,2024,1,526,https://cdn.rebrickable.com/media/sets/42179-1.jpg
42180-1,Mars Crew Exploration Rover,2024,1,1599,https://cdn.rebrickable.com/media/sets/42180-1.jpg
42181-1,VTOL Heavy Cargo Spaceship LT81,2024,1,1365,https://cdn.rebrickable.com/media/sets/42181-1.jpg
42182-1,NASA Apollo Lunar Roving Vehicle - LRV,2024,1,1913,https://cdn.rebrickable.com/media/sets/42182-1.jpg
42184-1,Koenigsegg Jesko Absolut White Hypercar,2024,1,801,https://cdn.rebrickable.com/media/sets/42184-1.jpg
42196-1,Lamborghini Huracán Tecnica Orange,2024,1,806,https://cdn.rebrickable.com/media/sets/42196-1.jpg
42197-1,Backhoe Loader,2025,1,104,https://cdn.rebrickable.com/media/sets/42197-1.jpg
42198-1,Bush Plane,2025,1,333,https://cdn.rebrickable.com/media/sets/42198-1.jpg
42199-1,Monster Jam DIGatron Pull-Back,2025,1,218,https://cdn.rebrickable.com/media/sets/42199-1.jpg
42200-1,Monster Jam ThunderROARus Pull-Back,2025,1,232,https://cdn.rebrickable.com/media/sets/42200-1.jpg
42201-1,Deep-Sea Research Submarine,2025,1,413,https://cdn.rebrickable.com/media/sets/42201-1.jpg
42202-1,Ducati Panigale V4 S Motorcycle,2025,1,1603,https://cdn.rebrickable.com/media/sets/42202-1.jpg
42203-1,Tipping Dump Truck,2025,1,462,https://cdn.rebrickable.com/media/sets/42203-1.jpg
42204-1,Fast and Furious Toyota Supra MK4,2025,1,810,https://cdn.rebrickable.com/media/sets/42204-1.jpg
42205-1,Chevrolet Corvette Stingray,2025,1,732,https://cdn.rebrickable.com/media/sets/42205-1.jpg
42206-1,Oracle Red Bull Racing RB20 F1 Car,2025,1,1639,https://cdn.rebrickable.com/media/sets/42206-1.jpg
42207-1,Ferrari SF-24 F1 Car,2025,1,1361,https://cdn.rebrickable.com/media/sets/42207-1.jpg
42208-1,Aston Martin Valkyrie,2025,1,708,https://cdn.rebrickable.com/media/sets/42208-1.jpg
42209-1,Volvo L120 Electric Wheel Loader,2025,1,973,https://cdn.rebrickable.com/media/sets/42209-1.jpg
42210-1,2 Fast 2 Furious Nissan Skyline GT-R (R34) Car,2025,1,1410,https://cdn.rebrickable.com/media/sets/42210-1.jpg
42211-1,Lunar Outpost Moon Rover Space Vehicle,2025,1,1082,https://cdn.rebrickable.com/media/sets/42211-1.jpg
42212-1,Ferrari FXX K,2025,1,897,https://cdn.rebrickable.com/media/sets/42212-1.jpg
42213-1,Ford Bronco SUV,2025,1,943,https://cdn.rebrickable.com/media/sets/42213-1.jpg
42214-1,Lamborghini Revuelto Super Sports Car,2025,1,1135,https://cdn.rebrickable.com/media/sets/42214-1.jpg
42215-1,Volvo EC500 Hybrid Excavator,2025,1,2359,https://cdn.rebrickable.com/media/sets/42215-1.jpg
42217-1,Chevrolet Corvette Stingray Blue,2025,1,732,https://cdn.rebrickable.com/media/sets/42217-1.jpg
42218-1,John Deere 1470H Wheeled Harvester,2026,1,117,https://cdn.rebrickable.com/media/sets/42218-1.jpg
42219-1,Monster Jam Grave Digger Fire and Ice,2026,1,263,https://cdn.rebrickable.com/media/sets/42219-1.jpg
42220-1,Monster Jam  Sparkle Smash Pull-Back,2026,1,243,https://cdn.rebrickable.com/media/sets/42220-1.jpg
42221-1,NASA Artemis Space Launch System Rocket,2026,1,632,https://cdn.rebrickable.com/media/sets/42221-1.jpg
42222-1,Bugatti Chiron Pur Sport Hypercar,2026,1,771,https://cdn.rebrickable.com/media/sets/42222-1.jpg
42223-1,1966 Ford GT40 MKII Race Car,2026,1,793,https://cdn.rebrickable.com/media/sets/42223-1.jpg
42224-1,Porsche 911 GT3 R REXY AO Racing Car,2026,1,1313,https://cdn.rebrickable.com/media/sets/42224-1.jpg
42225-1,Yellow Motorcycle,2026,1,151,https://cdn.rebrickable.com/media/sets/42225-1.jpg
42226-1,BMW M4 GT3 EVO Race Car,2026,1,747,https://cdn.rebrickable.com/media/sets/42226-1.jpg
42227-1,Jeep Wrangler Rubicon SUV,2026,1,723,https://cdn.rebrickable.com/media/sets/42227-1.jpg
42228-1,McLaren MCL39 F1 Car,2026,1,1675,https://cdn.rebrickable.com/media/sets/42228-1.jpg
5004193-1,Technic Racer Collection,2014,1,0,https://cdn.rebrickable.com/media/sets/5004193-1.jpg
5005496-1,Technic 40 Year Anniversary Model,2017,1,573,https://cdn.rebrickable.com/media/sets/5005496-1.jpg
65340-1,Dumper and Front End Loader Co-Pack (contains 8451 and 8453),2004,1,0,https://cdn.rebrickable.com/media/sets/65340-1.jpg
6535735-1,McLaren P1 Logo,2024,1,178,https://cdn.rebrickable.com/media/sets/6535735-1.jpg
66300-1,Technic Kettenbagger-Co-pack,2008,1,0,https://cdn.rebrickable.com/media/sets/66300-1.jpg
66318-1,Technic Super Pack 4 in 1,2009,1,0,https://cdn.rebrickable.com/media/sets/66318-1.jpg
66359-1,Technic Super Pack 4 in 1,2010,1,0,https://cdn.rebrickable.com/media/sets/66359-1.jpg
66397-1,Technic Super Pack 4 in 1,2011,1,0,https://cdn.rebrickable.com/media/sets/66397-1.jpg
66433-1,Technic Super Pack 3 in 1,2012,1,0,https://cdn.rebrickable.com/media/sets/66433-1.jpg
66712-1,Monster Jam Collection,2022,1,0,https://cdn.rebrickable.com/media/sets/66712-1.jpg
66784-1,NEOM McLaren Racing Gift Set,2024,1,0,https://cdn.rebrickable.com/media/sets/66784-1.jpg
8041-1,Race Truck,2010,1,608,https://cdn.rebrickable.com/media/sets/8041-1.jpg
8043-1,Motorized Excavator,2010,1,1127,https://cdn.rebrickable.com/media/sets/8043-1.jpg
8045-1,Mini Telehandler,2010,1,117,https://cdn.rebrickable.com/media/sets/8045-1.jpg
8046-1,Helicopter,2010,1,152,https://cdn.rebrickable.com/media/sets/8046-1.jpg
8047-1,Compact Excavator,2010,1,252,https://cdn.rebrickable.com/media/sets/8047-1.jpg
8048-1,Buggy,2010,1,314,https://cdn.rebrickable.com/media/sets/8048-1.jpg
8049-1,Tractor with Log Loader,2010,1,525,https://cdn.rebrickable.com/media/sets/8049-1.jpg
8051-1,Motorbike,2010,1,467,https://cdn.rebrickable.com/media/sets/8051-1.jpg
8052-1,Container Truck,2010,1,686,https://cdn.rebrickable.com/media/sets/8052-1.jpg
8053-1,Mobile Crane,2010,1,1289,https://cdn.rebrickable.com/media/sets/8053-1.jpg
8063-1,Tractor with Trailer,2009,1,1100,https://cdn.rebrickable.com/media/sets/8063-1.jpg
8065-1,Mini Container Truck,2011,1,119,https://cdn.rebrickable.com/media/sets/8065-1.jpg
8066-1,Off-Roader,2011,1,141,https://cdn.rebrickable.com/media/sets/8066-1.jpg
8067-1,Mini Mobile Crane,2011,1,292,https://cdn.rebrickable.com/media/sets/8067-1.jpg
8068-1,Rescue Helicopter,2011,1,408,https://cdn.rebrickable.com/media/sets/8068-1.jpg
